time(s),x(m),y(m),theta(rad),theta(deg),v(m/s),w(rad/s),u0x,u0y
14.300147,0.000000,2.145015,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
14.400053,0.000000,2.160022,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
14.500097,0.000000,2.175008,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
14.600130,0.000000,2.190015,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
14.700042,0.000000,2.205019,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
14.800095,0.000000,2.220006,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
14.900131,0.000000,2.235014,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
15.000043,0.000000,2.550020,1.570770,90.00,0.149998,-0.199998,0.000004,0.149998
15.100022,0.000149,2.564945,1.550868,88.86,0.148800,-0.198400,0.002965,0.148770
15.200128,0.000590,2.579756,1.531112,87.73,0.147602,-0.196803,0.005856,0.147486
15.300040,0.001319,2.594453,1.511490,86.60,0.146407,-0.195209,0.008678,0.146150
15.400102,0.002323,2.608987,1.492066,85.49,0.145220,-0.193627,0.011421,0.144770
15.500105,0.003601,2.623402,1.472770,84.38,0.144039,-0.192052,0.014097,0.143347
15.600073,0.005141,2.637665,1.453643,83.29,0.142868,-0.190490,0.016699,0.141888
15.700104,0.006937,2.651775,1.434677,82.20,0.141708,-0.188945,0.019230,0.140398
15.800111,0.008985,2.665743,1.415853,81.12,0.140562,-0.187416,0.021692,0.138878
15.900042,0.011274,2.679555,1.397186,80.05,0.139431,-0.185907,0.024085,0.137335
16.000150,0.013798,2.693201,1.378683,78.99,0.138317,-0.184423,0.026409,0.135772
16.100191,0.016555,2.706714,1.360294,77.94,0.137220,-0.182960,0.028672,0.134191
16.200134,0.019534,2.720059,1.342062,76.89,0.136145,-0.181526,0.030870,0.132599
16.300087,0.022727,2.733231,1.323990,75.86,0.135092,-0.180123,0.033004,0.130999
16.400195,0.026130,2.746245,1.306055,74.83,0.134064,-0.178751,0.035079,0.129393
16.500017,0.029743,2.759117,1.288228,73.81,0.133059,-0.177412,0.037100,0.127782
16.600156,0.033545,2.771792,1.270584,72.80,0.132084,-0.176112,0.039060,0.126176
16.700222,0.037552,2.784347,1.253012,71.79,0.131135,-0.174846,0.040975,0.124569
16.800092,0.041746,2.796732,1.235577,70.79,0.130216,-0.173622,0.042838,0.122968
16.900142,0.046115,2.808934,1.218297,69.80,0.129332,-0.172442,0.044651,0.121379
17.000148,0.050672,2.820998,1.201101,68.82,0.128478,-0.171304,0.046423,0.119798
17.100099,0.055401,2.832900,1.184025,67.84,0.127660,-0.170213,0.048153,0.118230
17.200138,0.060299,2.844640,1.167064,66.87,0.126877,-0.169169,0.049844,0.116676
17.300188,0.065369,2.856235,1.150191,65.90,0.126131,-0.168175,0.051501,0.115138
17.400048,0.070603,2.867678,1.133413,64.94,0.125423,-0.167231,0.053125,0.113616
17.500072,0.075988,2.878949,1.116758,63.99,0.124756,-0.166341,0.054718,0.112116
17.600113,0.081539,2.890088,1.100162,63.03,0.124127,-0.165503,0.056286,0.110632
17.700071,0.087248,2.901083,1.083645,62.09,0.123541,-0.164721,0.057831,0.109169
17.800095,0.093105,2.911923,1.067216,61.15,0.122997,-0.163995,0.059354,0.107728
17.900099,0.099117,2.922627,1.050847,60.21,0.122495,-0.163327,0.060860,0.106307
18.000027,0.105278,2.933188,1.034544,59.28,0.122038,-0.162718,0.062352,0.104908
18.100136,0.111582,2.943602,1.018312,58.34,0.121626,-0.162169,0.063830,0.103531
18.200227,0.118046,2.953899,1.002103,57.42,0.121259,-0.161679,0.065302,0.102174
18.300150,0.124656,2.964058,0.985942,56.49,0.120938,-0.161250,0.066767,0.100837
18.400113,0.131400,2.974068,0.969848,55.57,0.120664,-0.160885,0.068226,0.099523
18.500136,0.138293,2.983952,0.953782,54.65,0.120436,-0.160582,0.069685,0.098229
18.600125,0.145336,2.993713,0.937732,53.73,0.120256,-0.160341,0.071146,0.096953
18.700103,0.152523,3.003345,0.921709,52.81,0.120123,-0.160165,0.072610,0.095695
18.800202,0.159856,3.012850,0.905702,51.89,0.120039,-0.160052,0.074080,0.094453
18.900193,0.167345,3.022243,0.889684,50.98,0.120002,-0.160002,0.075560,0.093226
19.000182,0.174975,3.031504,0.873685,50.06,0.120013,-0.160017,0.077049,0.092014
19.100152,0.182754,3.040644,0.857682,49.14,0.120072,-0.160096,0.078550,0.090814
19.200037,0.190682,3.049663,0.841671,48.22,0.120179,-0.160239,0.080065,0.089624
19.300188,0.198756,3.058557,0.825655,47.31,0.120333,-0.160444,0.081595,0.088444
19.400204,0.207005,3.067355,0.809574,46.39,0.120536,-0.160714,0.083146,0.087267
19.500139,0.215399,3.076025,0.793484,45.46,0.120785,-0.161047,0.084715,0.086096
19.600179,0.223944,3.084570,0.777370,44.54,0.121081,-0.161441,0.086302,0.084927
19.700135,0.232658,3.093008,0.761197,43.61,0.121423,-0.161898,0.087912,0.083756
19.800116,0.241527,3.101321,0.744989,42.68,0.121811,-0.162415,0.089543,0.082584
19.900179,0.250562,3.109519,0.728723,41.75,0.122244,-0.162992,0.091197,0.081405
20.000137,0.259771,3.117605,0.712382,40.82,0.122722,-0.163629,0.092877,0.080216
20.100032,0.269140,3.125564,0.695991,39.88,0.123243,-0.164324,0.094579,0.079017
20.200082,0.278674,3.133397,0.679539,38.93,0.123806,-0.165075,0.096304,0.077804
20.300117,0.288397,3.141120,0.662984,37.99,0.124412,-0.165883,0.098057,0.076572
20.400088,0.298294,3.148717,0.646347,37.03,0.125059,-0.166746,0.099833,0.075320
20.500123,0.308365,3.156183,0.629632,36.08,0.125746,-0.167661,0.101633,0.074045
20.600160,0.318623,3.163525,0.612812,35.11,0.126471,-0.168629,0.103458,0.072743
20.700088,0.329064,3.170736,0.595892,34.14,0.127235,-0.169646,0.105306,0.071410
20.800072,0.339681,3.177804,0.578887,33.17,0.128034,-0.170712,0.107174,0.070046
20.900102,0.350491,3.184738,0.561763,32.19,0.128868,-0.171824,0.109063,0.068645
21.000035,0.361496,3.191533,0.544518,31.20,0.129737,-0.172983,0.110974,0.067205
21.100120,0.372682,3.198175,0.527172,30.20,0.130637,-0.174183,0.112901,0.065722
21.200211,0.384079,3.204677,0.509677,29.20,0.131570,-0.175427,0.114848,0.064192
21.300044,0.395672,3.211023,0.492054,28.19,0.132532,-0.176710,0.116809,0.062613
21.400104,0.407432,3.217193,0.474347,27.18,0.133520,-0.178026,0.118778,0.060986
21.500145,0.419416,3.223212,0.456467,26.15,0.134536,-0.179381,0.120762,0.059301
21.600038,0.431596,3.229057,0.438452,25.12,0.135577,-0.180769,0.122753,0.057558
21.700108,0.443958,3.234718,0.420324,24.08,0.136639,-0.182186,0.124746,0.055756
21.800130,0.456541,3.240204,0.402020,23.03,0.137725,-0.183633,0.126744,0.053889
21.900029,0.469318,3.245498,0.383580,21.98,0.138829,-0.185106,0.128741,0.051956
22.000107,0.482279,3.250589,0.365013,20.91,0.139951,-0.186601,0.130731,0.049957
22.100156,0.495462,3.255486,0.346263,19.84,0.141090,-0.188120,0.132716,0.047884
22.200089,0.508838,3.260170,0.327365,18.76,0.142243,-0.189658,0.134689,0.045738
22.300101,0.522396,3.264630,0.308334,17.67,0.143408,-0.191210,0.136644,0.043520
22.400210,0.536159,3.268869,0.289133,16.57,0.144583,-0.192778,0.138582,0.041224
22.500042,0.550129,3.272877,0.269755,15.46,0.145769,-0.194359,0.140497,0.038847
22.600182,0.564249,3.276634,0.250272,14.34,0.146958,-0.195944,0.142379,0.036397
22.700136,0.578600,3.280152,0.230571,13.21,0.148156,-0.197541,0.144235,0.033858
22.800024,0.593108,3.283406,0.210746,12.07,0.149354,-0.199139,0.146049,0.031243
22.900069,0.607785,3.286393,0.190775,10.93,0.150552,-0.200737,0.147821,0.028548
23.000105,0.622661,3.289111,0.170612,9.78,0.151752,-0.202336,0.149549,0.025765
23.100027,0.637706,3.291546,0.150291,8.61,0.152949,-0.203932,0.151225,0.022900
23.200085,0.652897,3.293687,0.129835,7.44,0.154139,-0.205519,0.152842,0.019956
23.300142,0.668269,3.295533,0.109192,6.26,0.155325,-0.207100,0.154400,0.016926
23.400062,0.683793,3.297072,0.088391,5.06,0.156502,-0.208669,0.155891,0.013815
23.500113,0.699441,3.298294,0.067463,3.87,0.157667,-0.210223,0.157308,0.010629
23.600148,0.715248,3.299194,0.046353,2.66,0.158821,-0.211762,0.158651,0.007359
23.700051,0.731182,3.299764,0.025093,1.44,0.159961,-0.213282,0.159911,0.004014
23.800106,0.747217,3.299995,0.003711,0.21,0.161084,-0.214778,0.161083,0.000598
23.900136,0.763389,3.299880,-0.017853,-1.02,0.162190,-0.216254,0.162164,-0.002895
24.000086,0.779660,3.299413,-0.039557,-2.27,0.163277,-0.217703,0.163149,-0.006457
24.100132,0.796012,3.298587,-0.061388,-3.52,0.164342,-0.219122,0.164032,-0.010082
24.200150,0.812463,3.297394,-0.083380,-4.78,0.165384,-0.220513,0.164810,-0.013774
24.300107,0.828981,3.295830,-0.105503,-6.04,0.166402,-0.221870,0.165477,-0.017523
24.400119,0.845550,3.293889,-0.127747,-7.32,0.167393,-0.223191,0.166029,-0.021326
24.500134,0.862178,3.291563,-0.150134,-8.60,0.168357,-0.224476,0.166463,-0.025181
24.600129,0.878843,3.288850,-0.172647,-9.89,0.169291,-0.225722,0.166774,-0.029083
24.699997,0.895530,3.285745,-0.195279,-11.19,0.170194,-0.226926,0.166960,-0.033025
24.800092,0.912208,3.282249,-0.218000,-12.49,0.171064,-0.228086,0.167016,-0.036997
24.900031,0.928923,3.278345,-0.240886,-13.80,0.171903,-0.229203,0.166939,-0.041010
25.000106,0.945597,3.274045,-0.263846,-15.12,0.172704,-0.230272,0.166728,-0.045041
25.100167,0.962266,3.269335,-0.286942,-16.44,0.173471,-0.231294,0.166378,-0.049096
25.200056,0.978890,3.264219,-0.310135,-17.77,0.174200,-0.232266,0.165889,-0.053164
25.300112,0.995431,3.258706,-0.333382,-19.10,0.174889,-0.233185,0.165259,-0.057231
25.400135,1.011928,3.252776,-0.356758,-20.44,0.175539,-0.234052,0.164486,-0.061305
25.500058,1.028336,3.246440,-0.380209,-21.78,0.176148,-0.234864,0.163569,-0.065371
25.600115,1.044629,3.239706,-0.403716,-23.13,0.176715,-0.235620,0.162508,-0.069420
25.700037,1.060830,3.232558,-0.427327,-24.48,0.177240,-0.236319,0.161302,-0.073455
25.800082,1.076881,3.225018,-0.450973,-25.84,0.177720,-0.236960,0.159952,-0.077458
25.900196,1.092810,3.217069,-0.474709,-27.20,0.178157,-0.237542,0.158457,-0.081432
26.000120,1.108593,3.208719,-0.498517,-28.56,0.178549,-0.238065,0.156818,-0.085368
26.100090,1.124175,3.199995,-0.522329,-29.93,0.178894,-0.238526,0.155040,-0.089250
26.200124,1.139580,3.190880,-0.546195,-31.29,0.179194,-0.238925,0.153122,-0.093080
26.300144,1.154795,3.181380,-0.570113,-32.67,0.179447,-0.239262,0.151066,-0.096852
26.400133,1.169796,3.171507,-0.594058,-34.04,0.179653,-0.239537,0.148874,-0.100557
26.500104,1.184567,3.161270,-0.618020,-35.41,0.179811,-0.239748,0.146551,-0.104187
26.600186,1.199096,3.150677,-0.641996,-36.78,0.179922,-0.239895,0.144100,-0.107736
26.700092,1.213390,3.139720,-0.666010,-38.16,0.179984,-0.239979,0.141520,-0.111204
26.800184,1.227395,3.128441,-0.689987,-39.53,0.179999,-0.239999,0.138825,-0.114574
26.900193,1.241151,3.116808,-0.714007,-40.91,0.179966,-0.239955,0.136008,-0.117854
27.000125,1.254607,3.104862,-0.738000,-42.28,0.179885,-0.239846,0.133082,-0.121028
27.100085,1.267756,3.092613,-0.761960,-43.66,0.179756,-0.239674,0.130051,-0.124093
27.200137,1.280600,3.080060,-0.785907,-45.03,0.179579,-0.239439,0.126917,-0.127046
27.300126,1.293137,3.067206,-0.809849,-46.40,0.179355,-0.239141,0.123685,-0.129886
27.400166,1.305339,3.054082,-0.833743,-47.77,0.179085,-0.238780,0.120364,-0.132604
27.500203,1.317210,3.040686,-0.857609,-49.14,0.178767,-0.238356,0.116958,-0.135198
27.600117,1.328737,3.027036,-0.881430,-50.50,0.178404,-0.237872,0.113473,-0.137665
27.700181,1.339898,3.013164,-0.905170,-51.86,0.177995,-0.237327,0.109921,-0.139999
27.800211,1.350716,2.999044,-0.928888,-53.22,0.177541,-0.236722,0.106298,-0.142203
27.900141,1.361165,2.984715,-0.952535,-54.58,0.177043,-0.236058,0.102618,-0.144270
28.000171,1.371234,2.970200,-0.976088,-55.93,0.176503,-0.235337,0.098889,-0.146199
28.100212,1.380937,2.955485,-0.999591,-57.27,0.175919,-0.234559,0.095110,-0.147992
28.200099,1.390262,2.940596,-1.023015,-58.61,0.175294,-0.233726,0.091292,-0.149646
28.300113,1.399189,2.925571,-1.046317,-59.95,0.174630,-0.232840,0.087448,-0.151157
28.400163,1.407741,2.910384,-1.069558,-61.28,0.173925,-0.231900,0.083573,-0.152530
28.500094,1.415908,2.895060,-1.092711,-62.61,0.173182,-0.230909,0.079678,-0.153764
28.600146,1.423675,2.879639,-1.115734,-63.93,0.172402,-0.229870,0.075774,-0.154857
28.700166,1.431061,2.864096,-1.138679,-65.24,0.171586,-0.228781,0.071859,-0.155814
28.800072,1.438052,2.848469,-1.161505,-66.55,0.170735,-0.227647,0.067946,-0.156633
28.900125,1.444646,2.832785,-1.184190,-67.85,0.169853,-0.226470,0.064042,-0.157316
29.000150,1.450858,2.817017,-1.206788,-69.14,0.168937,-0.225249,0.060145,-0.157868
29.100060,1.456680,2.801204,-1.229256,-70.43,0.167991,-0.223988,0.056267,-0.158288
29.200154,1.462109,2.785374,-1.251570,-71.71,0.167017,-0.222690,0.052415,-0.158580
29.300176,1.467163,2.769492,-1.273794,-72.98,0.166015,-0.221353,0.048585,-0.158746
29.400093,1.471833,2.753610,-1.295866,-74.25,0.164987,-0.219983,0.044791,-0.158791
29.500141,1.476121,2.737747,-1.317776,-75.50,0.163937,-0.218583,0.041038,-0.158717
29.600181,1.480040,2.721876,-1.339573,-76.75,0.162863,-0.217151,0.037323,-0.158529
29.700096,1.483590,2.706031,-1.361224,-77.99,0.161769,-0.215691,0.033655,-0.158229
29.800174,1.486772,2.690241,-1.382701,-79.22,0.160657,-0.214209,0.030041,-0.157823
29.900092,1.489599,2.674471,-1.404063,-80.45,0.159526,-0.212701,0.026475,-0.157313
30.000101,1.492069,2.658782,-1.425240,-81.66,0.158381,-0.211175,0.022972,-0.156707
30.100156,1.494194,2.643144,-1.446282,-82.87,0.157223,-0.209630,0.019526,-0.156005
30.200218,1.495977,2.627574,-1.467179,-84.06,0.156052,-0.208069,0.016141,-0.155215
30.300062,1.497426,2.612086,-1.487920,-85.25,0.154871,-0.206495,0.012820,-0.154340
30.400126,1.498543,2.596723,-1.508459,-86.43,0.153685,-0.204914,0.009574,-0.153387
30.500166,1.499341,2.581425,-1.528883,-87.60,0.152491,-0.203322,0.006389,-0.152357
